Item number,Name,Brand,Modul,Cost Value,november,december,januar,februar,marts,april,maj,juni,juli,august,september,oktober,Total
47753,Funko! POP VINYL Movies: Hobbs & Shaw Hobbs,Funko!,Stock,27.32667,12,12,12.0,12.0,12,12.0,12,12.0,12,12,12,12,12.0
47754,Funko! POP VINYL Movies: Hobbs & Shaw Brixton w/ O,Funko!,Købsordre,29.38567,6,0,0.0,0.0,0,0.0,0,0.0,0,0,0,0,6.0
47754,Funko! POP VINYL Movies: Hobbs & Shaw Brixton w/ O,Funko!,SalgsOrdre DK,29.38567,0,6,0.0,0.0,0,0.0,0,0.0,0,0,0,0,6.0
47754,Funko! POP VINYL Movies: Hobbs & Shaw Brixton w/ O,Funko!,Stock,29.38567,6,0,0.0,0.0,0,0.0,0,0.0,0,0,0,0,0.0
47756,Funko! POP VINYL Avengers Game - Iron Man (Tech S),Funko!,Invoiced DK,27.32642,90,0,0.0,0.0,0,0.0,0,0.0,0,0,0,0,90.0
47756,Funko! POP VINYL Avengers Game - Iron Man (Tech S),Funko!,Invoiced SE,27.32642,240,0,0.0,0.0,0,0.0,0,0.0,0,0,0,0,240.0
47756,Funko! POP VINYL Avengers Game - Iron Man (Tech S),Funko!,SalgsOrdre SE,27.32642,240,0,0.0,0.0,0,0.0,0,0.0,0,0,0,0,240.0
47756,Funko! POP VINYL Avengers Game - Iron Man (Tech S),Funko!,Stock,27.32642,6,6,6.0,6.0,6,6.0,6,6.0,6,6,6,6,6.0
47757,Funko! POP VINYL Avengers Game - Capt America,Funko!,Købsordre,29.266,0,12,0.0,0.0,0,0.0,0,0.0,0,0,0,0,12.0
47757,Funko! POP VINYL Avengers Game - Capt America,Funko!,Invoiced DK,29.266,12,0,0.0,0.0,0,0.0,0,0.0,0,0,0,0,12.0
47757,Funko! POP VINYL Avengers Game - Capt America,Funko!,Stock,29.266,120,132,132.0,132.0,132,132.0,132,132.0,132,132,132,132,132.0
47758,Funko! POP VINYL Avengers Game - Thor (tech suit),Funko!,Invoiced DK,29.07321,36,0,0.0,0.0,0,0.0,0,0.0,0,0,0,0,36.0
47758,Funko! POP VINYL Avengers Game - Thor (tech suit),Funko!,SalgsOrdre SE,29.07321,78,0,0.0,0.0,0,0.0,0,0.0,0,0,0,0,78.0
47758,Funko! POP VINYL Avengers Game - Thor (tech suit),Funko!,Stock,29.07321,6,6,6.0,6.0,6,6.0,6,6.0,6,6,6,6,6.0
47759,Funko! POP VINYL Avengers Game - Hulk (Tech Suit),Funko!,Invoiced DK,29.43144,32,0,0.0,0.0,0,0.0,0,0.0,0,0,0,0,32.0
47759,Funko! POP VINYL Avengers Game - Hulk (Tech Suit),Funko!,SalgsOrdre SE,29.43144,198,0,0.0,0.0,0,0.0,0,0.0,0,0,0,0,198.0
47759,Funko! POP VINYL Avengers Game - Hulk (Tech Suit),Funko!,Stock,29.43144,4,4,4.0,4.0,4,4.0,4,4.0,4,4,4,4,4.0
47760,Funko! POP VINYL Avengers Game Kamala Khan (Stark,Funko!,Invoiced DK,27.4919,12,0,0.0,0.0,0,0.0,0,0.0,0,0,0,0,12.0
47760,Funko! POP VINYL Avengers Game Kamala Khan (Stark,Funko!,SalgsOrdre SE,27.4919,246,0,0.0,0.0,0,0.0,0,0.0,0,0,0,0,246.0
47760,Funko! POP VINYL Avengers Game Kamala Khan (Stark,Funko!,Stock,27.4919,90,90,90.0,90.0,90,90.0,90,90.0,90,90,90,90,90.0
47811,"Funko! POP 10"" Minions 2 Roller Skating Stuart",Funko!,Købsordre,114.56,0,36,0.0,0.0,0,0.0,0,0.0,0,0,0,0,36.0
47811,"Funko! POP 10"" Minions 2 Roller Skating Stuart",Funko!,SalgsOrdre DK,114.56,0,6,0.0,0.0,0,0.0,0,0.0,0,0,0,0,6.0
47811,"Funko! POP 10"" Minions 2 Roller Skating Stuart",Funko!,Stock,114.56,0,30,30.0,30.0,30,30.0,30,30.0,30,30,30,30,30.0
47813,Funko! POP VINYL Marvel: Scotch- POP 6(w/Chase(GW),Funko!,Invoiced DK,27.52195,48,0,0.0,0.0,0,0.0,0,0.0,0,0,0,0,48.0
47813,Funko! POP VINYL Marvel: Scotch- POP 6(w/Chase(GW),Funko!,SalgsOrdre DK,27.52195,0,78,0.0,0.0,0,0.0,0,0.0,0,0,0,0,78.0
47813,Funko! POP VINYL Marvel: Scotch- POP 6(w/Chase(GW),Funko!,SalgsOrdre SE,27.52195,240,6,0.0,0.0,0,0.0,0,0.0,0,0,0,0,246.0
47813,Funko! POP VINYL Marvel: Scotch- POP 6(w/Chase(GW),Funko!,Stock,27.52195,186,102,102.0,102.0,102,102.0,102,102.0,102,102,102,102,102.0
47814,Funko! POP VINYL Marvel Avengers Game MODOK,Funko!,SalgsOrdre DK,27.32643,0,252,0.0,0.0,0,0.0,0,0.0,0,0,0,0,252.0
47814,Funko! POP VINYL Marvel Avengers Game MODOK,Funko!,Stock,27.32643,252,0,0.0,0.0,0,0.0,0,0.0,0,0,0,0,0.0
47815,Funko! POP VINYL Avengers Game Taskmaster,Funko!,Invoiced DK,27.32583,6,0,0.0,0.0,0,0.0,0,0.0,0,0,0,0,6.0
